0,0.002390,0.105831
1,0.002340,0.103961
2,0.002470,0.104297
3,0.002420,0.103745
4,0.002250,0.104178
5,0.002290,0.103853
6,0.002220,0.104037
7,0.002340,0.105363
8,0.002370,0.106247
9,0.002270,0.105031
10,0.002310,0.104221
11,0.002410,0.105697
12,0.002450,0.105230
13,0.002340,0.103745
14,0.002290,0.104297
15,0.002410,0.106553
16,0.002210,0.104822
17,0.002190,0.103745
18,0.002230,0.105396
19,0.002360,0.104450
20,0.002460,0.106135
21,0.002390,0.105396
22,0.002270,0.103788
23,0.002430,0.105230
24,0.002250,0.105697
25,0.002180,0.105031
26,0.002270,0.106247
27,0.002390,0.105396
28,0.002370,0.103745
29,0.002270,0.103745
30,0.002340,0.104178
31,0.002330,0.104701
32,0.002230,0.103745
33,0.002170,0.106872
34,0.002380,0.106872
35,0.002280,0.103961
36,0.002470,0.106247
37,0.002460,0.104297
38,0.002360,0.106135
39,0.002130,0.105164
40,0.002430,0.104701
41,0.002360,0.103745
42,0.002360,0.106553
43,0.002380,0.105396
44,0.002300,0.105031
45,0.002310,0.106101
46,0.002200,0.105263
47,0.002260,0.103745
48,0.002330,0.103745
49,0.002260,0.103745
